iter	Logloss
0	0.6726030816
1	0.6542009142
2	0.637402615
3	0.6214731852
4	0.6063990614
5	0.59268514
6	0.5805081516
7	0.5692675781
8	0.5590034654
9	0.5490903388
10	0.537201199
11	0.5288096788
12	0.518573744
13	0.5085093519
14	0.5000663927
15	0.4910711331
16	0.485195516
17	0.477806193
18	0.4711531236
19	0.4647622342
20	0.4589234077
21	0.4533696832
22	0.4479281955
23	0.4431080119
24	0.4392124769
25	0.434049547
26	0.4291837565
27	0.424862264
28	0.421546597
29	0.4177507867
30	0.4136454942
31	0.4112352837
32	0.4086383396
33	0.405578715
34	0.4019685872
35	0.3996070014
36	0.396917589
37	0.3947130669
38	0.3927144029
39	0.3906719632
40	0.3885187107
41	0.3862306722
42	0.384478285
43	0.3822649468
44	0.3800842285
45	0.3781467692
46	0.376189643
47	0.3748932902
48	0.3732274712
49	0.3722810872
50	0.3708017985
51	0.3698372396
52	0.3683640544
53	0.3668782552
54	0.3653563775
55	0.3645876736
56	0.363617825
57	0.3626320394
58	0.3617777507
59	0.3606730821
60	0.3597258165
61	0.3585278659
62	0.3572547065
63	0.3564874946
64	0.3556896973
65	0.3548794217
66	0.3541451009
67	0.3536935764
68	0.3530409749
69	0.3523773193
70	0.3516150241
71	0.3510660129
72	0.3502823215
73	0.3497541979
74	0.3491897922
75	0.3485565186
76	0.3479429118
77	0.3475046794
78	0.3470559353
79	0.3465459527
80	0.3461509874
81	0.3455364651
82	0.3449951172
83	0.3445939806
84	0.3441086833
85	0.3436131456
86	0.3432107883
87	0.3425261773
88	0.3422443983
89	0.3418784587
90	0.3415738593
91	0.341204088
92	0.3407915921
93	0.3403042942
94	0.3397543674
95	0.3391947428
96	0.3385626899
97	0.3383011203
98	0.3378917101
99	0.3375336032
100	0.3373156399
101	0.3368947686
102	0.3364771864
103	0.3361168755
104	0.3358840603
105	0.3356286282
106	0.3353744846
107	0.3350966729
108	0.3347092692
109	0.3344204712
110	0.3340836928
111	0.3338844469
112	0.3336097887
113	0.3332839627
114	0.3328079563
115	0.3324479167
116	0.3321921115
117	0.3318261719
118	0.3316295709
119	0.3314384969
120	0.3311442057
121	0.3309440104
122	0.3307308621
123	0.3304873318
124	0.3301538764
125	0.3300044759
126	0.3296218194
127	0.3294825575
128	0.3292436388
129	0.3290309652
130	0.3286332872
131	0.3284137302
132	0.3281418864
133	0.3278679064
134	0.3275882975
135	0.3273981391
136	0.3272379896
137	0.3269607883
138	0.3267403836
139	0.3265324232
140	0.3262388102
141	0.3260479058
142	0.3258536784
143	0.3256040107
144	0.3254549493
145	0.3253341336
146	0.3250883653
147	0.3248986138
148	0.3246518962
149	0.3244492594
150	0.324300944
151	0.3241105482
152	0.3239196777
153	0.3237648519
154	0.3236686876
155	0.3234781562
156	0.3233000014
157	0.3231610107
158	0.3229544406
159	0.3226774089
160	0.3224011909
161	0.322175666
162	0.3220603773
163	0.3218284776
164	0.3216868083
165	0.3215246582
166	0.3213746474
167	0.321215922
168	0.3211235216
169	0.3210086399
170	0.3207994927
171	0.3206185913
172	0.320462443
173	0.320261027
174	0.3201171875
175	0.319970025
176	0.3197129313
177	0.3195602078
178	0.3193849013
179	0.3191700575
180	0.319059177
181	0.3188617622
182	0.3186568875
183	0.3184779188
184	0.3183373684
185	0.318157213
186	0.3179760742
187	0.3177670288
188	0.3176520454
189	0.3174522569
