iter	Passed	Remaining
406	5822	8483
407	5832	8463
408	5845	8446
409	5858	8429
410	5870	8412
411	5880	8392
412	5892	8375
413	5908	8363
414	5922	8348
415	5939	8338
416	5954	8324
417	5968	8310
418	5980	8292
419	5992	8275
420	6005	8259
421	6016	8241
422	6027	8221
423	6039	8205
424	6050	8186
425	6060	8166
426	6073	8149
427	6086	8134
428	6099	8118
429	6108	8097
430	6123	8084
431	6137	8069
432	6153	8057
433	6169	8045
434	6191	8041
435	6201	8022
436	6217	8010
437	6235	8000
438	6250	7987
439	6264	7973
440	6278	7958
441	6293	7944
442	6305	7927
443	6318	7911
444	6331	7897
445	6346	7883
446	6361	7870
447	6376	7856
448	6392	7845
449	6409	7833
450	6423	7819
451	6442	7810
452	6458	7799
453	6472	7784
454	6485	7768
455	6500	7754
456	6512	7738
457	6524	7720
458	6540	7708
459	6556	7696
460	6572	7683
461	6591	7675
462	6615	7673
463	6634	7663
464	6655	7657
465	6676	7650
466	6699	7646
467	6718	7637
468	6733	7623
469	6756	7619
470	6775	7610
471	6791	7597
472	6804	7581
473	6817	7565
474	6827	7546
475	6842	7532
476	6856	7517
477	6869	7501
478	6882	7486
479	6893	7467
480	6904	7449
481	6916	7432
482	6927	7415
483	6938	7396
484	6950	7380
485	6962	7363
486	6973	7346
487	6985	7329
488	6998	7313
489	7011	7297
490	7025	7283
491	7036	7265
492	7050	7250
493	7063	7235
494	7075	7218
495	7084	7198
496	7097	7183
497	7110	7167
498	7122	7150
499	7132	7132
500	7144	7115
501	7156	7099
502	7168	7083
503	7182	7068
504	7193	7050
505	7207	7036
506	7219	7020
507	7229	7001
508	7241	6985
509	7254	6969
510	7264	6952
511	7275	6934
512	7289	6920
513	7305	6907
514	7320	6894
515	7334	6879
516	7345	6862
517	7357	6845
518	7369	6830
519	7383	6815
520	7397	6801
521	7412	6787
522	7469	6812
523	7488	6802
524	7512	6797
525	7526	6782
526	7542	6769
527	7552	6751
528	7564	6735
529	7575	6717
530	7586	6700
531	7599	6685
532	7612	6670
533	7626	6655
534	7638	6639
535	7648	6621
536	7663	6607
537	7679	6594
538	7692	6579
539	7707	6565
540	7719	6549
541	7737	6538
542	7752	6525
543	7767	6511
544	7778	6494
545	7790	6477
546	7801	6460
547	7813	6444
548	7825	6428
549	7838	6413
550	7852	6398
551	7866	6384
552	7878	6368
553	7888	6351
554	7903	6336
555	7917	6322
556	7931	6308
557	7944	6293
558	7960	6279
559	7974	6265
560	7986	6249
561	7997	6233
562	8011	6218
563	8022	6201
564	8033	6184
565	8046	6170
566	8062	6156
567	8078	6144
568	8094	6131
569	8106	6115
570	8118	6099
571	8130	6083
572	8142	6067
573	8179	6070
574	8197	6059
575	8221	6051
576	8238	6039
577	8255	6027
578	8270	6013
579	8282	5998
580	8294	5981
581	8303	5963
582	8316	5948
583	8329	5933
584	8341	5917
585	8352	5901
586	8367	5887
587	8379	5871
588	8392	5856
589	8402	5839
590	8412	5821
591	8423	5805
592	8434	5789
593	8444	5772
594	8456	5755
595	8466	5739
596	8476	5722
597	8487	5705
598	8498	5689
599	8509	5672
600	8520	5656
601	8530	5639
602	8541	5623
603	8555	5609
604	8567	5593
605	8579	5578
606	8589	5561
607	8603	5546
608	8616	5532
609	8628	5516
610	8638	5499
611	8651	5484
612	8662	5468
613	8671	5451
614	8682	5435
615	8694	5419
616	8703	5402
617	8715	5387
618	8728	5372
619	8743	5358
620	8757	5344
621	8773	5331
622	8784	5315
623	8797	5301
624	8810	5286
625	8825	5272
626	8838	5257
627	8848	5241
628	8862	5227
629	8876	5212
630	8888	5197
631	8898	5181
632	8910	5166
633	8924	5152
634	8937	5137
635	8950	5122
636	8962	5107
637	9045	5132
638	9061	5119
639	9083	5109
640	9132	5114
641	9158	5106
642	9206	5111
643	9231	5102
644	9249	5090
645	9266	5077
646	9283	5065
647	9303	5053
648	9321	5041
649	9338	5028
650	9375	5026
651	9388	5011
652	9403	4997
653	9419	4983
654	9438	4971
655	9452	4956
656	9463	4940
657	9475	4924
658	9488	4909
659	9501	4894
660	9513	4879
661	9523	4862
662	9536	4847
663	9550	4832
664	9561	4816
665	9574	4801
666	9586	4786
667	9599	4771
668	9617	4758
669	9635	4746
670	9647	4730
671	9661	4715
672	9674	4700
673	9685	4684
674	9696	4668
675	9708	4653
676	9719	4637
677	9730	4621
678	9744	4606
679	9755	4590
680	9766	4574
681	9779	4559
682	9794	4545
683	9822	4537
684	9841	4525
685	9917	4539
686	9953	4534
687	9969	4521
688	9982	4505
689	9991	4489
690	10005	4474
691	10021	4460
692	10035	4445
693	10047	4430
694	10056	4413
695	10069	4398
696	10082	4382
697	10094	4367
698	10104	4351
699	10116	4335
700	10128	4320
701	10141	4304
702	10152	4289
703	10164	4273
704	10176	4258
705	10190	4243
706	10203	4228
707	10214	4212
708	10226	4197
709	10237	4181
710	10247	4165
711	10257	4149
712	10268	4133
713	10278	4117
714	10290	4101
715	10299	4085
716	10310	4069
717	10323	4054
718	10334	4038
719	10342	4022
720	10355	4007
721	10367	3992
722	10377	3976
723	10391	3961
724	10404	3946
725	10417	3931
726	10431	3917
727	10444	3902
728	10456	3887
729	10470	3872
730	10482	3857
731	10493	3841
732	10503	3825
733	10515	3810
734	10527	3795
735	10537	3779
736	10550	3765
737	10564	3750
738	10576	3735
739	10586	3719
740	10598	3704
741	10611	3689
742	10623	3674
743	10635	3659
744	10649	3645
745	10680	3636
746	10702	3624
747	10733	3616
748	10748	3601
749	10765	3588
750	10778	3573
751	10791	3558
752	10802	3543
753	10812	3527
754	10824	3512
755	10840	3498
756	10855	3484
757	10868	3469
758	10881	3455
759	10893	3440
760	10908	3426
761	10921	3411
762	10932	3395
763	10944	3380
764	10954	3365
765	10965	3349
766	10975	3334
767	10985	3318
768	10997	3303
769	11008	3288
770	11017	3272
771	11032	3258
772	11047	3244
773	11060	3229
774	11073	3214
775	11083	3199
776	11095	3184
777	11107	3169
778	11117	3153
779	11129	3139
780	11140	3123
781	11155	3109
782	11167	3094
783	11179	3080
784	11191	3065
785	11204	3050
786	11214	3035
787	11227	3020
788	11240	3005
789	11253	2991
790	11263	2976
791	11276	2961
792	11288	2946
793	11300	2931
794	11311	2916
795	11323	2901
796	11336	2887
797	11348	2872
798	11358	2857
799	11369	2842
800	11380	2827
801	11390	2812
802	11402	2797
803	11413	2782
804	11423	2767
805	11434	2752
806	11445	2737
807	11455	2722
808	11468	2707
809	11481	2693
810	11492	2678
811	11503	2663
812	11516	2648
813	11529	2634
814	11542	2620
815	11554	2605
816	11566	2590
817	11581	2576
818	11595	2562
819	11609	2548
820	11624	2534
821	11635	2519
822	11646	2504
823	11660	2490
824	11679	2477
825	11792	2484
826	11809	2470
827	11823	2456
828	11839	2442
829	11853	2427
830	11869	2413
831	11882	2399
832	11894	2384
833	11926	2373
834	11939	2359
835	11953	2344
836	11966	2330
837	11979	2315
838	11990	2300
839	12004	2286
840	12020	2272
841	12032	2257
842	12050	2244
843	12063	2229
844	12077	2215
845	12088	2200
846	12102	2186
847	12115	2171
848	12128	2157
849	12139	2142
850	12151	2127
851	12163	2112
852	12175	2098
853	12192	2084
854	12203	2069
855	12213	2054
856	12227	2040
857	12239	2025
858	12248	2010
859	12261	1996
860	12272	1981
861	12286	1966
862	12296	1952
863	12309	1937
864	12321	1923
865	12336	1908
866	12378	1898
867	12397	1885
868	12415	1871
869	12433	1857
870	12451	1844
871	12469	1830
872	12490	1817
873	12513	1803
874	12531	1790
875	12553	1776
876	12598	1766
877	12629	1754
878	12654	1741
879	12695	1731
880	12795	1728
881	12819	1715
882	12837	1701
883	12852	1686
884	12867	1672
885	12885	1658
886	12910	1644
887	13001	1639
888	13016	1625
889	13032	1610
890	13044	1595
891	13058	1581
892	13069	1565
893	13085	1551
894	13101	1537
895	13123	1523
896	13140	1508
897	13154	1494
898	13166	1479
899	13181	1464
900	13194	1449
901	13205	1434
902	13219	1420
903	13235	1405
904	13250	1390
905	13264	1376
906	13279	1361
907	13293	1346
908	13315	1332
909	13337	1319
910	13367	1305
911	13391	1292
912	13406	1277
913	13422	1262
914	13438	1248
915	13461	1234
916	13487	1220
917	13505	1206
918	13519	1191
919	13531	1176
920	13541	1161
921	13556	1146
922	13568	1131
923	13581	1117
924	13600	1102
925	13633	1089
926	13650	1074
927	13687	1061
928	13706	1047
929	13720	1032
930	13733	1017
931	13744	1002
932	13754	987
933	13768	972
934	13782	958
935	13797	943
936	13810	928
937	13819	913
938	13830	898
939	13842	883
940	13855	868
941	13864	853
942	13876	838
943	13888	823
944	13901	809
945	13911	794
946	13922	779
947	13934	764
948	13945	749
949	13960	734
950	13973	719
951	13987	705
952	14000	690
953	14011	675
954	14025	660
955	14041	646
956	14053	631
957	14066	616
958	14079	601
959	14089	587
960	14102	572
961	14114	557
962	14128	542
963	14143	528
964	14158	513
965	14171	498
966	14186	484
967	14200	469
968	14222	454
969	14238	440
970	14249	425
971	14264	410
972	14279	396
973	14293	381
974	14307	366
975	14320	352
976	14331	337
977	14344	322
978	14357	307
979	14369	293
980	14384	278
981	14397	263
982	14409	249
983	14425	234
984	14441	219
985	14456	205
986	14471	190
987	14482	175
988	14495	161
989	14507	146
990	14519	131
991	14534	117
992	14546	102
993	14555	87
994	14569	73
995	14581	58
996	14594	43
997	14606	29
998	14620	14
999	14633	0
