Fecha,Precio
2/04/2022,2.33
1/04/2022,2.36
31/03/2022,2.28
30/03/2022,1.42
29/03/2022,1.42
28/03/2022,1.44
27/03/2022,1.47
26/03/2022,1.47
25/03/2022,1.47
24/03/2022,1.47
23/03/2022,1.42
22/03/2022,1.42
21/03/2022,1.28
20/03/2022,1.25
19/03/2022,1.25
18/03/2022,1.25
17/03/2022,1.25
16/03/2022,1.25
15/03/2022,1.25
14/03/2022,1.28
13/03/2022,1.22
12/03/2022,1.22
11/03/2022,1.22
10/03/2022,1.17
9/03/2022,1.19
8/03/2022,1.19
7/03/2022,1.25
6/03/2022,1.22
5/03/2022,1.22
4/03/2022,1.22
3/03/2022,1.17
2/03/2022,1.22
1/03/2022,1.22
28/02/2022,1.25
27/02/2022,1.22
26/02/2022,1.22
25/02/2022,1.19
24/02/2022,1.19
23/02/2022,1.17
22/02/2022,1.17
21/02/2022,1.19
20/02/2022,1.17
19/02/2022,1.17
18/02/2022,1.14
17/02/2022,1.14
16/02/2022,1.14
15/02/2022,1.14
14/02/2022,1.17
13/02/2022,1.14
12/02/2022,1.14
11/02/2022,1.14
10/02/2022,1.17
9/02/2022,1.22
8/02/2022,1.22
7/02/2022,1.28
6/02/2022,1.25
5/02/2022,1.25
4/02/2022,1.25
3/02/2022,1.19
2/02/2022,1.19
1/02/2022,1.19
31/01/2022,1.25
30/01/2022,1.22
29/01/2022,1.22
28/01/2022,1.22
27/01/2022,1.19
26/01/2022,1.22
25/01/2022,1.22
24/01/2022,1.28
23/01/2022,1.22
22/01/2022,1.22
21/01/2022,1.17
20/01/2022,1.19
19/01/2022,1.22
18/01/2022,1.22
17/01/2022,1.22
16/01/2022,1.19
15/01/2022,1.19
14/01/2022,1.22
13/01/2022,1.25
12/01/2022,1.22
11/01/2022,1.22
10/01/2022,1.25
9/01/2022,1.25
8/01/2022,1.25
7/01/2022,1.25
6/01/2022,1.25
5/01/2022,1.22
4/01/2022,1.22
3/01/2022,1.25
2/01/2022,1.19
1/01/2022,1.19
12/12/2021,1.39
11/12/2021,1.39
10/12/2021,1.39
9/12/2021,1.31
8/12/2021,1.31
7/12/2021,1.31
6/12/2021,1.33
5/12/2021,1.47
4/12/2021,1.47
3/12/2021,1.47
2/12/2021,1.47
1/12/2021,1.56
30/11/2021,1.56
29/11/2021,1.67
28/11/2021,1.66
27/11/2021,1.66
26/11/2021,1.67
25/11/2021,1.67
24/11/2021,1.67
23/11/2021,1.67
22/11/2021,1.67
21/11/2021,1.61
20/11/2021,1.61
19/11/2021,1.56
18/11/2021,1.56
17/11/2021,1.56
16/11/2021,1.56
15/11/2021,1.56
14/11/2021,1.44
13/11/2021,1.44
12/11/2021,1.56
11/11/2021,1.56
10/11/2021,1.69
9/11/2021,1.69
8/11/2021,1.72
7/11/2021,1.64
6/11/2021,1.64
5/11/2021,1.61
4/11/2021,1.61
3/11/2021,1.67
2/11/2021,1.67
1/11/2021,2.11
31/10/2021,2.11
30/10/2021,2.11
29/10/2021,2.14
28/10/2021,2.28
27/10/2021,2.28
26/10/2021,2.28
25/10/2021,2.33
24/10/2021,2.5
23/10/2021,2.5
22/10/2021,2.5
21/10/2021,2.5
20/10/2021,2.56
19/10/2021,2.56
18/10/2021,2.56
17/10/2021,2.5
16/10/2021,2.5
15/10/2021,2.36
14/10/2021,2.56
13/10/2021,2.5
12/10/2021,2.5
11/10/2021,2.56
10/10/2021,2.61
9/10/2021,2.61
8/10/2021,2.61
7/10/2021,2.61
6/10/2021,2.56
5/10/2021,2.56
4/10/2021,2.61
3/10/2021,2.56
2/10/2021,2.56
1/10/2021,2.58
30/09/2021,2.56
29/09/2021,2.56
28/09/2021,2.56
27/09/2021,2.5
26/09/2021,2.5
25/09/2021,2.5
24/09/2021,2.5
23/09/2021,2.5
22/09/2021,2.56
21/09/2021,2.56
20/09/2021,2.61
19/09/2021,2.58
18/09/2021,2.58
17/09/2021,2.58
16/09/2021,2.56
15/09/2021,2.5
14/09/2021,2.5
13/09/2021,2.5
12/09/2021,2.28
11/09/2021,2.28
10/09/2021,2.28
9/09/2021,2.17
8/09/2021,2
7/09/2021,2
6/09/2021,1.78
5/09/2021,1.69
4/09/2021,1.69
3/09/2021,1.47
2/09/2021,1.44
1/09/2021,1.42
31/08/2021,1.42
30/08/2021,1.33
29/08/2021,1.33
28/08/2021,1.33
27/08/2021,1.33
